,Account,Total Quantity Staked,Earliest Stake,Avg Actual Staked Days,Number of Stakes,Completed Stakes,Open Stakes,Latest Version
0,0xbe4c3b530b92157811ef87f53123753a9cf0012c,686303.2128997239,2021-01-16,230.0,3,0,3,1
1,0x254242457f3f61d9050e451a61a107ea92d5e2b1,582789.9047385596,2021-01-02,219.70833333333334,24,0,24,2
2,0x77342cdc64678df4261b273ad29da9e3c000decb,450000.0,2021-02-16,176.0,2,0,2,2
3,0xd0f50c0431b76fa58aeefdd68617acb4e0628051,443638.89444740565,2021-01-01,191.83333333333334,6,0,4,2
4,0x5da9ac2b36fe8415df9ac15e3fbee99de5dc000a,426876.3335420636,2021-03-16,119.44444444444444,9,0,8,2
5,0x4c8475548d821e2e4d7f2e3bd2d83a32fff8131a,426778.7196033236,2021-01-06,226.66666666666666,3,0,3,1
6,0xfe828ee52f00e2e928fbd6060ed9a0322fd886e7,404060.0,2021-02-12,194.75,4,0,4,2
7,0x54e7452428ba68a3445356b44a6e1c11b73fe4b2,401184.0,2021-05-04,99.0,1,1,0,2
8,0x7407ca3def8bda3239fc7069863c54f2cc2c80bd,388093.75,2021-04-28,112.0,3,0,3,2
9,0xe2e8fee9ac2af4352a0e424650b77da25c36bf80,225220.88522193365,2021-02-08,169.5,6,0,5,2
10,0x5ad5d14fd858a729736aad114a25f89319f9a2d8,221287.0133463546,2021-04-18,114.66666666666667,3,0,3,2
11,0xf1a7b8b3d6a69c30883b2a3fb023593d9bb4c81e,220100.0,2021-01-01,164.0,2,0,2,2
12,0xcd0eb48851856f64b7c3e0644c08c252876e6b05,213020.32511708702,2021-01-01,241.57142857142858,7,0,7,1
13,0x7075191e9054c8b7460fc3e761f9d0a499a688d3,209239.96352079656,2021-01-16,151.23076923076923,13,1,12,2
14,0xd58270a79ccc81caa39bcc5bff72b485d7956aea,200000.0,2021-01-24,222.0,2,0,2,1
15,0x09ea768029069eeb979015a64f261e7789e5e450,190000.0,2021-05-09,95.0,2,0,0,2
16,0x4bf4e3a59add035c479cde89d98103cb65dca941,188153.33813584177,2021-01-01,181.85714285714286,7,0,3,2
17,0x416535372f3037606f0c001a3a3289ee5ef32a3e,155472.3575318997,2021-01-08,194.0,7,0,7,2
18,0xc848b603a557bef9dc9c3e8d9737691586b9e56b,146029.86491240608,2021-03-13,161.0,4,0,0,2
19,0x95551cf63f5794287ab2ab4ffdb3b07b3df31702,140450.20339244293,2021-01-03,174.5,2,1,1,2
20,0x5004b9e9094ca2e193bfecc9e3792a8ff0adf807,134639.07590141144,2021-01-01,245.0,1,0,1,1
21,0x6d90ab69ad831ee4cdd11be8e185b7843d1bd385,131450.0597008883,2021-06-17,72.5,2,0,2,2
22,0xaaf1eb836c73fe48fe67150bd5eb412deb39de23,118406.09118793154,2021-05-04,82.8,5,0,5,2
23,0xbee26f064a6448bdb377144253bc76afc98195af,107211.80885107428,2021-01-01,244.66666666666666,6,0,6,1
